"Source:","D:\Embedded\PCB\Ex1\Adruino UNO LED shield\Adruino UNO LED shield.kicad_sch"
"Date:","1/15/2024 10:39:30 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","17"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"A1","1","Arduino_UNO_R2","Arduino_UNO_R2","Module:Arduino_UNO_R2","Arduino UNO Microcontroller Module, release 2","",""
"D1, D2, D3, D4, D5, D6, D7, D8","8","LED","LED","LED_SMD:LED_0805_2012Metric","Light emitting diode","",""
"R1, R2, R3, R4, R5, R6, R7, R8","8","R_Small_US","R_Small_US","Resistor_SMD:R_0603_1608Metric","Resistor, small US symbol","",""
